g,N,E0,E1,gap
0.9,1
-1.2270452538143,-0.60844820872046,0.6185970450938
-1.2991836504977,-0.68137005879655,0.61781359170117
-1.3713220471812,-0.75418614156055,0.61713590562064
-1.4434604438646,-0.82691512889129,0.61654531497336
-1.5155988405481,-0.89956899870865,0.61602984183947
-1.5877372372316,-0.97215908545923,0.61557815177236
-1.659875633915,-1.0446953330413,0.61518030087378
-1.7320140305985,-1.1171765381533,0.61483749244526
-1.804152427282,-1.189619928746,0.61453249853595
-1.8762908239655,-1.2619758366811,0.61431498728438
-1.9484292206489,-1.3343386191098,0.61409060153911
-2.0205676173324,-1.4066913743057,0.61387624302666
-2.0927060140158,-1.4790069102824,0.61369910373343
-2.1648444106993,-1.5512420853918,0.61360232530749
-2.2369828073828,-1.6234177107617,0.61356509662104
-2.3091212040662,-1.6955566654777,0.61356453858848
-2.3812596007497,-1.7678459749876,0.61341362576206
-2.4533979974332,-1.8399828532677,0.61341514416548
-2.5255363941166,-1.9124808891969,0.61305550491969
-2.5976747908001,-1.9842942627399,0.6133805280602
-2.6698131874836,-2.0565623077001,0.61325087978343
-2.741951584167,-2.1286521461129,0.61329943805407
-2.8140899808505,-2.2008002513244,0.61328972952606
-2.886228377534,-2.2728044049932,0.61342397254072
-2.9583667742174,-2.3451245621504,0.61324221206701
-3.0305051709009,-2.4175222528208,0.61298291808009
-3.1026435675843,-2.4893481996857,0.61329536789866
-3.1747819642678,-2.5617426791549,0.61303928511289
-3.2469203609513,-2.6335241270521,0.61339623389916
-3.3190587576347,-2.7069039112821,0.61215484635263
-3.3911971543182,-2.7794353537863,0.61176180053191
-3.4633355510017,-2.8509981447018,0.61233740629988
-3.5354739476851,-2.9235351699693,0.61193877771589
-3.6076123443686,-2.995070061902,0.61254228246661
-3.6797507410521,-3.0675331371923,0.61221760385976
-3.7518891377356,-3.1394077344199,0.61248140331568
-3.824027534419,-3.211605072291,0.61242246212805
-3.8961659311025,-3.2836071415637,0.6125587895388
-3.9683043277859,-3.3558747539034,0.61242957388258
-4.0404427244694,-3.4280351041928,0.61240762027661
-4.1125811211529,-3.5000730994804,0.61250802167249
-4.1847195178363,-3.5722630993735,0.61245641846288
-4.2568579145198,-3.6444370354717,0.61242087904809
