g,N,E0,E1,gap,xi_gap,xi_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,2,0.00023824561483767,0.00023824561483767,-8.3422084213174,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,3,8.9937817399747e-06,8.9937817399747e-06,-11.618977137202,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,4,4.0807363486505e-07,4.0807363486505e-07,-14.711818201216,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,5,2.130226829742e-08,2.130226829742e-08,-17.664452277064,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,6,1.1996448992611e-09,1.1996448992611e-09,-20.541240241227,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,7,7.0172412151848e-11,7.0172412151848e-11,-23.380065871427,1,8
1.1,35,-1.5030212733486,nan,nan,nan,0.32177540906739,17,0,0,8,4.1792405040125e-12,4.1792405040125e-12,-26.200891583506,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,1,0.016670483099038,0.016670483099038,-4.0941156024931,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,2,9.1572643389162e-05,9.1572643389162e-05,-9.2983779838466,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,3,2.0885337201842e-06,2.0885337201842e-06,-13.079048307492,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,4,4.535073317173e-08,4.535073317173e-08,-16.908839493554,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,5,9.9190890982641e-10,9.9190890982641e-10,-20.731389837632,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,6,2.1709865892852e-11,2.1709865892852e-11,-24.553254309264,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,7,4.7521849736581e-13,4.7521849736581e-13,-28.375001702187,1,8
1.2,35,-0.94055986166545,nan,nan,nan,0.25427793693329,17,0,0,8,1.0401618802391e-14,1.0401618802391e-14,-32.1968149468,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,1,0.013282794020762,0.013282794020762,-4.3212857639337,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,2,3.5976879470072e-05,3.5976879470072e-05,-10.232634062773,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,3,4.9924581558278e-07,4.9924581558278e-07,-14.510167246092,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,4,5.9631905185249e-09,5.9631905185249e-09,-18.937660177203,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,5,7.2112387730031e-11,7.2112387730031e-11,-23.352795273219,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,6,8.7201106795456e-13,8.7201106795456e-13,-27.767974278474,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,7,1.0545438220572e-14,1.0545438220572e-14,-32.183083024653,1,8
1.3,35,-0.60275562908392,nan,nan,nan,0.21961008188431,17,0,0,8,1.2761059570154e-16,1.2761059570154e-16,-36.597548268016,1,8
