g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,7,0.018871704175804,0.018871704175804,-3.9700916122961,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,8,0.014835637696832,0.014835637696832,-4.2107230401954,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,9,0.011729324042344,0.011729324042344,-4.4456632443758,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,10,0.0093170107581393,0.0093170107581393,-4.675913435836,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,11,0.0074298869287042,0.0074298869287042,-4.9022446385777,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,12,0.005944697532284,0.005944697532284,-5.1252556277983,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,13,0.0047699473999116,0.0047699473999116,-5.3454200014149,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,14,0.0038367823010667,0.0038367823010667,-5.5631212060831,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,15,0.0030928038842397,0.0030928038842397,-5.7786771936135,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,16,0.0024977693150726,0.0024977693150726,-5.9923572193923,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,17,0.0020205346157142,0.0020205346157142,-6.204393141341,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,18,0.0016368410683185,0.0016368410683185,-6.4149870724668,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,19,0.0013276873130052,0.0013276873130052,-6.6243167127267,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,20,0.0010781170182184,0.0010781170182184,-6.8325392611636,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,21,0.00087630661610602,0.00087630661610602,-7.0397945098842,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,22,0.00071287281580154,0.00071287281580154,-7.2462075324214,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,23,0.00058034298245614,0.00058034298245614,-7.4518912801395,1,24
0.75,50,-12.664664835035,nan,nan,nan,4.4062311600597,0.22695132499277,12,2,2,24,0.00047274738659947,0.00047274738659947,-7.6569493785225,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,1,0.086962287825671,0.086962287825671,-2.4422807275724,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,2,0.05794151362689,0.05794151362689,-2.8483211629419,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,3,0.038208075724652,0.038208075724652,-3.2647083793083,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,4,0.025486899135349,0.025486899135349,-3.6695907182354,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,5,0.017240408061558,0.017240408061558,-4.0604993445628,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,6,0.011802891251944,0.011802891251944,-4.4394107561722,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,7,0.0081586092619578,0.0081586092619578,-4.8086815581152,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,8,0.0056831233328673,0.0056831233328673,-5.170254314832,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,9,0.0039833139591433,0.0039833139591433,-5.5256411530979,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,10,0.0028059283279141,0.0028059283279141,-5.8760208400678,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,11,0.0019846229518471,0.0019846229518471,-6.2223263315772,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,12,0.0014083901452224,0.0014083901452224,-6.5653079678519,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,13,0.001002181194106,0.001002181194106,-6.9055764602265,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,14,0.00071471104535396,0.00071471104535396,-7.2436322293258,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,15,0.00051061926563965,0.00051061926563965,-7.5798863224945,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,16,0.00036534215049387,0.00036534215049387,-7.9146762448521,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,17,0.0002617086795665,0.0002617086795665,-8.2482785828853,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,18,0.00018765236773228,0.00018765236773228,-8.5809194146516,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,19,0.00013465655819473,0.00013465655819473,-8.912783034399,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,20,9.6688189534065e-05,9.6688189534065e-05,-9.2440192980824,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,21,6.9460674524758e-05,6.9460674524758e-05,-9.5747497997142,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,22,4.9920787966675e-05,4.9920787966675e-05,-9.9050730494388,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,23,3.5889391386203e-05,3.5889391386203e-05,-10.235068810703,1,24
0.8,50,-9.7988334468902,nan,nan,nan,2.8669562155256,0.34880197841343,12,2,2,24,2.580862666071e-05,2.580862666071e-05,-10.564801755231,1,24
0.85,50,-7.5767992543896,nan,nan,nan,2.0456342467993,0.48884594182202,12,2,2,1,0.079058862065903,0.079058862065903,-2.5375626145146,1,24
0.85,50,-7.5767992543896,nan,nan,nan,2.0456342467993,0.48884594182202,12,2,2,2,0.045395352839756,0.045395352839756,-3.0923455395318,1,24
0.85,50,-7.5767992543896,nan,nan,nan,2.0456342467993,0.48884594182202,12,2,2,3,0.025875511108235,0.025875511108235,-3.6544582746164,1,24
0.85,50,-7.5767992543896,nan,nan,nan,2.0456342467993,0.48884594182202,12,2,2,4,0.014975771589392,0.014975771589392,-4.2013216111399,1,24
