g,N,E0,E1,gap,xi_gap,xi_corr,m_corr,xi_transfer,m_transfer,i0,comp_i,comp_j,r,corr,abs_corr,log_abs_corr,rMin,rMax
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,32,0.074946090257141,0.074946090257141,-2.5909862204754,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,33,0.074065511233254,0.074065511233254,-2.6028052904775,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,34,0.073189123948402,0.073189123948402,-2.6147084489938,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,35,0.072314248137657,0.072314248137657,-2.626734099556,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,36,0.071447634343749,0.071447634343749,-2.6387904844091,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,37,0.070580855468925,0.070580855468925,-2.6509963402513,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,38,0.069714763648338,0.069714763648338,-2.6633431665964,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,39,0.06885074173689,0.06885074173689,-2.6758142806354,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,40,0.067990166648073,0.067990166648073,-2.6883921923794,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,41,0.067132203224435,0.067132203224435,-2.7010914213044,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,42,0.066272617841561,0.066272617841561,-2.7139784709979,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,43,0.065417646656115,0.065417646656115,-2.7269632303695,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,44,0.064570611000714,0.064570611000714,-2.7399959097787,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,45,0.063728572618973,0.063728572618973,-2.753122267224,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,46,0.062885626495933,0.062885626495933,-2.7664376549671,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,47,0.062049101577893,0.062049101577893,-2.7798292464389,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,48,0.061219971846409,0.061219971846409,-2.7932818053407,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,49,0.060401016327499,0.060401016327499,-2.8067493475687,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,50,0.059588917303846,0.059588917303846,-2.8202856734797,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,51,0.058786195047322,0.058786195047322,-2.833848229749,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,52,0.057994669599428,0.057994669599428,-2.8474041761172,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,53,0.057210474123233,0.057210474123233,-2.8610182833172,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,54,0.056437262704227,0.056437262704227,-2.87462565239,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,55,0.055672910104117,0.055672910104117,-2.8882616039637,1,160
0.45,200,-227.40492362042,nan,nan,nan,78.033243362847,0.012815051084704,nan,nan,20,2,2,56,0.054922119386996,0.054922119386996,-2.9018391083864,1,160
