g,E0,E1,gap
1.5,1.6
-0.1289751299871,2.2492244975591,2.3781996275462
-0.13434895478524,2.2438101768101,2.3781591315954
-0.13972277958338,2.238629222104,2.3783520016874
-0.14509660438152,2.2331027410053,2.3781993453868
-0.15047042917966,2.2285329475853,2.3790033767649
-0.15584425397779,2.2224510580077,2.3782953119855
-0.16121807877593,2.2172103251213,2.3784284038972
-0.16659190357407,2.2110622990499,2.377654202624
-0.17196572837221,2.2060477414642,2.3780134698364
-0.17733955317034,2.2005615864096,2.37790113958
-0.18271337796848,2.1946666073449,2.3773799853133
-0.18808720276662,2.189726412807,2.3778136155737
-0.19346102756476,2.1844779628126,2.3779389903774
-0.1988348523629,2.1792329853341,2.378067837697
-0.20420867716103,2.1740445290774,2.3782532062385
-0.20958250195917,2.1683772063934,2.3779597083526
-0.21495632675731,2.1625911479089,2.3775474746662
-0.22033015155545,2.1581163712476,2.378446522803
-0.22570397635358,2.1523403211002,2.3780442974537
-0.23107780115172,2.146995559619,2.3780733607707
-0.23645162594986,2.1422256385761,2.378677264526
-0.241825450748,2.1361364447703,2.3779618955183
-0.24719927554614,2.1311965143689,2.378395789915
-0.25257310034427,2.1260707765507,2.378643876895
-0.25794692514241,2.1197786087831,2.3777255339256
-0.26332074994055,2.1146138784015,2.377934628342
-0.26869457473869,2.1093439210951,2.3780384958338
-0.27406839953683,2.1042150219564,2.3782834214932
-0.27944222433496,2.0987286910419,2.3781709153769
-0.2848160491331,2.093357055061,2.3781731041941
-0.29018987393124,2.0881641108438,2.378353984775
-0.29556369872938,2.0825845998518,2.3781482985811
-0.30093752352751,2.0769825446973,2.3779200682248
-0.30631134832565,2.0715139884776,2.3778253368033
-0.31168517312379,2.0661915834164,2.3778767565402
-0.31705899792193,2.0607360316148,2.3777950295368
